project,period,annual_fixed_cost_per_mw_year,annual_fixed_cost_per_mwh_year
E_Argentina_Biomass_2015_rest,2020,122700.0,0
E_Argentina_Biomass_2015_rest,2025,122700.0,0
E_Argentina_Biomass_2015_rest,2030,122700.0,0
E_Argentina_Biomass_2015_rest,2035,122700.0,0
E_Argentina_Biomass_2015_rest,2040,122700.0,0
E_Argentina_Biomass_2015_rest,2045,122700.0,0
E_Argentina_Biomass_2015_rest,2050,122700.0,0
E_Argentina_Coal_Sub_10s,2020,79800.0,0
E_Argentina_Coal_Sub_10s,2025,79800.0,0
E_Argentina_Coal_Sub_10s,2030,79800.0,0
E_Argentina_Coal_Sub_10s,2035,79800.0,0
E_Argentina_Coal_Sub_10s,2040,79800.0,0
E_Argentina_Coal_Sub_10s,2045,79800.0,0
E_Argentina_Coal_Sub_10s,2050,79800.0,0
E_Argentina_Coal_Sub_60s,2020,79800.0,0
E_Argentina_Coal_Sub_60s,2025,79800.0,0
E_Argentina_Coal_Sub_60s,2030,79800.0,0
E_Argentina_Coal_Sub_60s,2035,0.0,0
E_Argentina_Coal_Sub_60s,2040,0.0,0
E_Argentina_Coal_Sub_60s,2045,0.0,0
E_Argentina_Coal_Sub_60s,2050,0.0,0
E_Argentina_Coal_Sub_70s,2020,79800.0,0
E_Argentina_Coal_Sub_70s,2025,79800.0,0
E_Argentina_Coal_Sub_70s,2030,79800.0,0
E_Argentina_Coal_Sub_70s,2035,79800.0,0
E_Argentina_Coal_Sub_70s,2040,0.0,0
E_Argentina_Coal_Sub_70s,2045,0.0,0
E_Argentina_Coal_Sub_70s,2050,0.0,0
E_Argentina_Coal_Sub_80s,2020,79799.99999999999,0
E_Argentina_Coal_Sub_80s,2025,79799.99999999999,0
E_Argentina_Coal_Sub_80s,2030,79799.99999999999,0
E_Argentina_Coal_Sub_80s,2035,79799.99999999999,0
E_Argentina_Coal_Sub_80s,2040,79799.99999999999,0
E_Argentina_Coal_Sub_80s,2045,79799.99999999999,0
E_Argentina_Coal_Sub_80s,2050,0.0,0
E_Argentina_Coal_Sub_90s,2020,79800.0,0
E_Argentina_Coal_Sub_90s,2025,79800.0,0
E_Argentina_Coal_Sub_90s,2030,79800.0,0
E_Argentina_Coal_Sub_90s,2035,79800.0,0
E_Argentina_Coal_Sub_90s,2040,79800.0,0
E_Argentina_Coal_Sub_90s,2045,79800.0,0
E_Argentina_Coal_Sub_90s,2050,79800.0,0
E_Argentina_Diesel_00s,2020,13799.999999999998,0
E_Argentina_Diesel_00s,2025,13799.999999999998,0
E_Argentina_Diesel_00s,2030,13799.999999999998,0
E_Argentina_Diesel_00s,2035,13799.999999999998,0
E_Argentina_Diesel_00s,2040,13799.999999999998,0
E_Argentina_Diesel_00s,2045,13799.999999999998,0
E_Argentina_Diesel_00s,2050,13799.999999999998,0
E_Argentina_Diesel_10s,2020,13799.999999999998,0
E_Argentina_Diesel_10s,2025,13799.999999999998,0
E_Argentina_Diesel_10s,2030,13799.999999999998,0
E_Argentina_Diesel_10s,2035,13799.999999999998,0
E_Argentina_Diesel_10s,2040,13799.999999999998,0
E_Argentina_Diesel_10s,2045,13799.999999999998,0
E_Argentina_Diesel_10s,2050,13799.999999999998,0
E_Argentina_Gas_CCGT_00s,2020,14300.0,0
E_Argentina_Gas_CCGT_00s,2025,14300.0,0
E_Argentina_Gas_CCGT_00s,2030,14300.0,0
E_Argentina_Gas_CCGT_00s,2035,14300.0,0
E_Argentina_Gas_CCGT_00s,2040,14300.0,0
E_Argentina_Gas_CCGT_00s,2045,14300.0,0
E_Argentina_Gas_CCGT_00s,2050,14300.0,0
E_Argentina_Gas_CCGT_10s,2020,14300.000000000002,0
E_Argentina_Gas_CCGT_10s,2025,14300.000000000002,0
E_Argentina_Gas_CCGT_10s,2030,14300.000000000002,0
E_Argentina_Gas_CCGT_10s,2035,14300.000000000002,0
E_Argentina_Gas_CCGT_10s,2040,14300.000000000002,0
E_Argentina_Gas_CCGT_10s,2045,14300.000000000002,0
E_Argentina_Gas_CCGT_10s,2050,14300.000000000002,0
E_Argentina_Gas_CCGT_2002_rest,2020,14299.999999999998,0
E_Argentina_Gas_CCGT_2002_rest,2025,14299.999999999998,0
E_Argentina_Gas_CCGT_2002_rest,2030,14299.999999999998,0
E_Argentina_Gas_CCGT_2002_rest,2035,14299.999999999998,0
E_Argentina_Gas_CCGT_2002_rest,2040,14299.999999999998,0
E_Argentina_Gas_CCGT_2002_rest,2045,14299.999999999998,0
E_Argentina_Gas_CCGT_2002_rest,2050,14299.999999999998,0
E_Argentina_Gas_CCGT_60s,2020,14299.999999999998,0
E_Argentina_Gas_CCGT_60s,2025,0.0,0
E_Argentina_Gas_CCGT_60s,2030,0.0,0
E_Argentina_Gas_CCGT_60s,2035,0.0,0
E_Argentina_Gas_CCGT_60s,2040,0.0,0
E_Argentina_Gas_CCGT_60s,2045,0.0,0
E_Argentina_Gas_CCGT_60s,2050,0.0,0
E_Argentina_Gas_CCGT_70s,2020,14300.0,0
E_Argentina_Gas_CCGT_70s,2025,14300.0,0
E_Argentina_Gas_CCGT_70s,2030,0.0,0
E_Argentina_Gas_CCGT_70s,2035,0.0,0
E_Argentina_Gas_CCGT_70s,2040,0.0,0
E_Argentina_Gas_CCGT_70s,2045,0.0,0
E_Argentina_Gas_CCGT_70s,2050,0.0,0
E_Argentina_Gas_CCGT_80s,2020,14299.999999999998,0
